title,audience_score,type,genre,runtime,year,mpaa_rating,studio,imdb_num_votes,critics_score,critics_rating,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,audience_rating,director,actor1,actor2,actor3,actor4,actor5,imdb_url,rt_url,imdb_id
CQ,70,Feature Film,Drama,88,2001,R,United Artists Pictures/MGM,4089,67,Fresh,no,no,no,no,no,no,Upright,Roman Coppola,Jeremy Davies,Angela Lindvall,Elodie Bouchez,Gerard Depardieu,Massimo Ghini,http://www.imdb.com/title/tt0254199/,http://www.rottentomatoes.com/m/cq/,254199
The Boys from Brazil,66,Feature Film,Drama,125,1978,R,20th Century Fox Film Corporation,19698,70,Fresh,no,no,yes,no,yes,no,Upright,Franklin J. Schaffner,Gregory Peck,Laurence Olivier,James Mason,Lilli Palmer,Uta Hagen,http://www.imdb.com/title/tt0077269/,http://www.rottentomatoes.com/m/1002993-boys_from_brazil/,77269
Charlie's Angels: Full Throttle,40,Feature Film,Action & Adventure,106,2003,PG-13,Columbia Pictures,96769,43,Rotten,no,no,no,no,no,no,Spilled,Bernie Mac,Cameron Diaz,Drew Barrymore,Lucy Liu,Bernie Mac,Crispin Glover,http://www.imdb.com/title/tt0305357/,http://www.rottentomatoes.com/m/charlies_angels_full_throttle/,305357
Beavis and Butt-Head Do America,70,Feature Film,Comedy,81,1996,PG-13,Paramount Home Video,40915,72,Fresh,no,no,no,no,no,no,Upright,Mike Judge,Mike Judge,Robert Stack,Cloris Leachman,Eric Bogosian,Sam Johnson,http://www.imdb.com/title/tt0115641/,http://www.rottentomatoes.com/m/beavis_and_butt_head_do_america/,115641
City Slickers,64,Feature Film,Other,113,1991,PG-13,Columbia Pictures,37497,90,Fresh,no,no,no,no,no,no,Upright,Ron Underwood,Billy Crystal,Daniel Stern,Bruno Kirby,Jack Palance,Patricia Wettig,http://www.imdb.com/title/tt0101587/,http://www.rottentomatoes.com/m/city_slickers/,101587
Splash,58,Feature Film,Other,111,1984,PG,Touchstone Pictures,51592,92,Fresh,no,no,yes,no,yes,no,Spilled,Ron Howard,Tom Hanks,Daryl Hannah,John Candy,Eugene Levy,Dody Goodman,http://www.imdb.com/title/tt0088161/,http://www.rottentomatoes.com/m/1019641-splash/,88161
Inferno,60,Feature Film,Mystery & Suspense,107,1980,R,Anchor Bay Entertainment,11457,64,Fresh,no,no,no,no,no,no,Upright,Dario Argento,Leigh McCloskey,Irene Miracle,Sacha Pitoeff,Daria Nicolodi,Eleonora Giorgi,http://www.imdb.com/title/tt0080923/,http://www.rottentomatoes.com/m/inferno1980/,80923
Mirrors,44,Feature Film,Mystery & Suspense,110,2008,R,Buena Vista,81915,14,Rotten,no,no,no,no,no,no,Spilled,Alexandre Aja,Kiefer Sutherland,Paula Patton,Erica Gluck,Cameron Boyce,Ezra Buzzington,http://www.imdb.com/title/tt0790686/,http://www.rottentomatoes.com/m/1197016-mirrors/,790686
Three Fugitives,51,Feature Film,Action & Adventure,96,1989,PG-13,Touchstone Pictures,8179,14,Rotten,no,no,no,no,no,no,Spilled,Francis Veber,Nick Nolte,Martin Short,Sarah Rowland Doroff,James Earl Jones,Alan Ruck,http://www.imdb.com/title/tt0098471/,http://www.rottentomatoes.com/m/three_fugitives/,98471
Saw II,59,Feature Film,Mystery & Suspense,93,2005,R,Lions Gate Films,178252,36,Rotten,no,no,no,no,no,no,Spilled,Darren Bousman,Tobin Bell,Donnie Wahlberg,Erik Knudsen,Glenn Plummer,Dina Meyer,http://www.imdb.com/title/tt0432348/,http://www.rottentomatoes.com/m/saw_ii/,432348
Punch-Drunk Love,77,Feature Film,Drama,95,2002,R,Columbia Pictures,102959,79,Certified Fresh,no,no,yes,no,no,no,Upright,Paul Thomas Anderson,Adam Sandler,Emily Watson,Philip Seymour Hoffman,Luis Guzman,Mary Lynn Rajskub,http://www.imdb.com/title/tt0272338/,http://www.rottentomatoes.com/m/punchdrunk_love/,272338
Brick Mansions,47,Feature Film,Drama,90,2014,PG-13,Relativity Media,29062,26,Rotten,no,no,no,no,no,no,Spilled,Camille Delamarre,Paul Walker,David Belle,The Rza,Gouchy Boy,Carlo Rota,http://www.imdb.com/title/tt1430612/,http://www.rottentomatoes.com/m/brick_mansions/,1430612
DeepStar Six,23,Feature Film,Action & Adventure,105,1989,R,Carolco Pictures,6678,0,Rotten,no,no,no,no,no,no,Spilled,Sean S. Cunningham,Taurean Blacque,Nancy Everhard,Greg Evigan,Miguel Ferrer,Nia Peeples,http://www.imdb.com/title/tt0097179/,http://www.rottentomatoes.com/m/deepstar-six/,97179
Fireproof,82,Feature Film,Drama,122,2008,PG,Sherwood Pictures,15854,40,Rotten,no,no,no,no,no,no,Upright,Nick Zano,Kirk Cameron,Erin Bethea,Ken Bevel,Jason McLeod,Harris Malcolm,http://www.imdb.com/title/tt1129423/,http://www.rottentomatoes.com/m/10010214-fireproof/,1129423
Fatherland,52,TV Movie,Drama,106,1994,Unrated,Transfilm,4282,50,Rotten,no,no,no,no,no,no,Spilled,Christopher Menaul,Rutger Hauer,Miranda Richardson,Jean Marsh,Peter Vaughan,Michael Kitchen,http://www.imdb.com/title/tt0109779/,http://www.rottentomatoes.com/m/fatherland/,109779
Scary Movie,43,Feature Film,Horror,88,2000,R,Dimension Films,176587,53,Rotten,no,no,no,no,no,no,Spilled,Keenen Ivory Wayans,Marlon Wayans,Shawn Wayans,Anna Faris,Shannon Elizabeth,Lochlyn Munro,http://www.imdb.com/title/tt0175142/,http://www.rottentomatoes.com/m/scary_movie/,175142
The Bay,43,Feature Film,Horror,84,2012,R,Roadside Attraction,18903,77,Certified Fresh,no,no,no,no,yes,no,Spilled,Barry Levinson,Kristen Connolly,Will Rogers,Kether Donohue,Frank Deal,Stephen Kunken,http://www.imdb.com/title/tt1713476/,http://www.rottentomatoes.com/m/the_bay_2012/,1713476
The Curse of the Were-Rabbit,79,Feature Film,Action & Adventure,85,2005,G,Dreamworks,92176,95,Certified Fresh,no,no,no,no,no,no,Upright,Helena Bonham Carter,Peter Sallis,Ralph Fiennes,Peter Kay,Nicholas Smith,Clement Nicholas Smith,http://www.imdb.com/title/tt0312004/,http://www.rottentomatoes.com/m/wallace_and_gromit_curse_of_the_wererabbit/,312004
Blank Check,35,Feature Film,Comedy,93,1994,PG,Buena Vista,13172,13,Rotten,no,no,no,no,no,no,Spilled,Rupert Wainwright,Brian Bonsall,Karen Duffy,James Rebhorn,Jayne Atkinson,Michael Faustino,http://www.imdb.com/title/tt0109287/,http://www.rottentomatoes.com/m/blank_check/,109287
Gerry,61,Feature Film,Drama,103,2002,R,FilmFour,14590,61,Fresh,no,no,no,no,no,no,Upright,Gus Van Sant,Casey Affleck,Matt Damon,NA,NA,NA,http://www.imdb.com/title/tt0302674/,http://www.rottentomatoes.com/m/gerry/,302674
Where the Day Takes You,76,Feature Film,Drama,105,1991,R,New Line Cinema,2352,80,Fresh,no,no,no,no,no,no,Upright,Marc Rocco,Dermot Mulroney,Sean Astin,Balthazar Getty,Lara Flynn Boyle,James LeGros,http://www.imdb.com/title/tt0105810/,http://www.rottentomatoes.com/m/where_the_day_takes_you/,105810
Evan Almighty,52,Feature Film,Science Fiction & Fantasy,96,2007,PG,Universal Pictures,109820,23,Rotten,no,no,no,no,no,no,Spilled,Tom Shadyac,Steve Carell,Morgan Freeman,Lauren Graham,Wanda Sykes,Graham Phillips,http://www.imdb.com/title/tt0413099/,http://www.rottentomatoes.com/m/evan_almighty/,413099
The Rocky Horror Picture Show,85,Feature Film,Other,100,1975,R,20th Century Fox,96534,80,Fresh,no,no,no,yes,no,yes,Upright,Jim Sharman,Tim Curry,Susan Sarandon,Barry Bostwick,Richard O'Brien,Jonathan Adams,http://www.imdb.com/title/tt0073629/,http://www.rottentomatoes.com/m/rocky_horror_picture_show/,73629
Cold Mountain,77,Feature Film,Drama,154,2003,R,Miramax Films,113845,71,Fresh,no,no,no,yes,yes,no,Upright,Anthony Minghella,Nicole Kidman,Jude Law,Renee Zellweger,Eileen Atkins,Brendan Gleeson,http://www.imdb.com/title/tt0159365/,http://www.rottentomatoes.com/m/cold_mountain/,159365
Welcome to Sarajevo,75,Feature Film,Drama,103,1997,R,Miramax,5680,80,Fresh,no,no,no,no,no,no,Upright,Michael Winterbottom,Stephen Dillane,Woody Harrelson,Marisa Tomei,Emira Nusevic,Kerry Fox,http://www.imdb.com/title/tt0120490/,http://www.rottentomatoes.com/m/welcome_to_sarajevo/,120490
Conan the Barbarian,74,Feature Film,Action & Adventure,129,1982,R,Universal Pictures,107823,70,Fresh,no,no,no,no,no,no,Upright,John Milius,Arnold Schwarzenegger,James Earl Jones,Max von Sydow,Sandahl Bergman,Ben Davidson,http://www.imdb.com/title/tt0082198/,http://www.rottentomatoes.com/m/conan_the_barbarian/,82198
Malibu's Most Wanted,54,Feature Film,Comedy,86,2003,PG-13,Warner Bros.,15535,31,Rotten,no,no,no,no,no,no,Spilled,John Whitesell,Jamie Kennedy,Taye Diggs,Anthony Anderson,Regina Hall,Ryan O'Neal,http://www.imdb.com/title/tt0328099/,http://www.rottentomatoes.com/m/malibus_most_wanted/,328099
Super,55,Feature Film,Drama,96,2010,R,IFC Midnight,57926,48,Rotten,no,no,no,no,no,no,Spilled,James Gunn,Rainn Wilson,Ellen Page,Liv Tyler,Kevin Bacon,Michael Rooker,http://www.imdb.com/title/tt1512235/,http://www.rottentomatoes.com/m/super-2010/,1512235
The Darkest Hour,26,Feature Film,Action & Adventure,89,2011,PG-13,Summit Entertainment,47387,12,Rotten,no,no,no,no,no,no,Spilled,Chris Gorak,Emile Hirsch,Olivia Thirlby,Max Minghella,Rachael Taylor,Joel Kinnaman,http://www.imdb.com/title/tt1093357/,http://www.rottentomatoes.com/m/the_darkest_hour/,1093357
Scrooged,71,Feature Film,Science Fiction & Fantasy,101,1988,PG-13,Paramount Pictures,56491,67,Fresh,no,no,no,no,no,no,Upright,Richard Donner,Bill Murray,Karen Allen,John Forsythe,John Glover,Bob Goldthwait,http://www.imdb.com/title/tt0096061/,http://www.rottentomatoes.com/m/scrooged/,96061
Cold Comfort Farm,82,TV Movie,Art House & International,95,1995,PG,Universal Pictures,5516,83,Fresh,no,no,no,no,yes,no,Upright,John Schlesinger,Kate Beckinsale,Joanna Lumley,Ian McKellen,Rufus Sewell,Stephen Fry,http://www.imdb.com/title/tt0112701/,http://www.rottentomatoes.com/m/1071769-cold_comfort_farm/,112701
Safe,59,Feature Film,Drama,94,2012,R,Lionsgate Films,77528,57,Rotten,no,no,no,no,no,no,Spilled,Boaz Yakin,Catherine Chan,Jason Statham,Robert John Burke,James Hong,Anson Mount,http://www.imdb.com/title/tt1656190/,http://www.rottentomatoes.com/m/safe_2011/,1656190
Falling Down,84,Feature Film,Drama,113,1993,R,Warner Bros. Pictures,129037,73,Certified Fresh,no,no,yes,no,no,no,Upright,Joel Schumacher,Michael Douglas,Robert Duvall,Barbara Hershey,Rachel Ticotin,Tuesday Weld,http://www.imdb.com/title/tt0106856/,http://www.rottentomatoes.com/m/falling_down/,106856
New Best Friend,39,Feature Film,Mystery & Suspense,91,2002,R,Sony Pictures Entertainment,2827,5,Rotten,no,no,no,no,no,no,Spilled,Zoe Clarke-Williams,Dominique Swain,Taye Diggs,Mia Kirshner,Meredith Monroe,Rachel True,http://www.imdb.com/title/tt0191074/,http://www.rottentomatoes.com/m/new_best_friend/,191074
Wag the Dog,76,Feature Film,Comedy,97,1997,R,New Line Cinema,65328,85,Certified Fresh,no,no,yes,no,yes,no,Upright,Barry Levinson,Dustin Hoffman,Robert De Niro,Anne Heche,Denis Leary,Woody Harrelson,http://www.imdb.com/title/tt0120885/,http://www.rottentomatoes.com/m/wag_the_dog/,120885
This Is It,82,Documentary,Other,111,2009,PG,Sony Pictures/Columbia Pictures,32231,81,Certified Fresh,no,no,no,no,no,no,Upright,Kenny Ortega,Michael Jackson,NA,NA,NA,NA,http://www.imdb.com/title/tt1477715/,http://www.rottentomatoes.com/m/michael_jackson_this_is_it/,1477715
The Bank Job,74,Feature Film,Mystery & Suspense,111,2008,R,Lionsgate,146789,79,Certified Fresh,no,no,no,no,no,no,Upright,Roger Donaldson,Jason Statham,Saffron Burrows,Richard Lintern,Stephen Campbell Moore,Daniel Mays,http://www.imdb.com/title/tt0200465/,http://www.rottentomatoes.com/m/1189844-the_bank_job/,200465
Invasion U.S.A.,52,Feature Film,Mystery & Suspense,107,1985,PG,Cannon Films Inc,5626,23,Rotten,no,no,no,no,no,no,Spilled,Joseph Zito,Chuck Norris,Richard Lynch,Melissa Prophet,Alexander Zale,Dehl Berti,http://www.imdb.com/title/tt0089348/,http://www.rottentomatoes.com/m/1010685-invasion_usa/,89348
Holy Man,24,Feature Film,Comedy,114,1998,PG,Hollywood Pictures,15682,12,Rotten,no,no,no,no,no,no,Spilled,Stephen Herek,Eddie Murphy,Jeff Goldblum,Kelly Preston,Robert Loggia,Jon Cryer,http://www.imdb.com/title/tt0120701/,http://www.rottentomatoes.com/m/holy_man/,120701
Get Rich or Die Tryin',70,Feature Film,Drama,117,2005,R,Paramount Pictures,33032,16,Rotten,no,no,no,no,no,no,Upright,Jim Sheridan,50 Cent,Benz Antoinee,Terrence Howard,Joy Bryant,Bill Duke,http://www.imdb.com/title/tt0430308/,http://www.rottentomatoes.com/m/get_rich_or_die_tryin/,430308
"Jeff, Who Lives at Home",62,Feature Film,Comedy,83,2011,R,Paramount Vantage,54350,78,Certified Fresh,no,no,no,yes,no,no,Upright,Mark Duplass,Jason Segel,Ed Helms,Susan Sarandon,Judy Greer,Rae Dawn Chong,http://www.imdb.com/title/tt1588334/,http://www.rottentomatoes.com/m/jeff_who_lives_at_home/,1588334
Bait,41,Feature Film,Drama,119,2000,R,Warner Bros. Pictures,8691,26,Rotten,no,no,yes,no,no,no,Spilled,Antoine Fuqua,Jamie Foxx,David Morse,Robert Pastorelli,Doug Hutchison,Kimberly Elise,http://www.imdb.com/title/tt0211938/,http://www.rottentomatoes.com/m/1100039-bait/,211938
The Bachelor,28,Feature Film,Comedy,101,1999,PG-13,WARNER BROTHERS PICTURES,14242,9,Rotten,no,no,no,no,no,no,Spilled,Steve Cohen,Chris O'Donnell,Renee Zellweger,Hal Holbrook,James Cromwell,Edward Asner,http://www.imdb.com/title/tt0120596/,http://www.rottentomatoes.com/m/1093976-bachelor/,120596
The Chronicles of Narnia: Prince Caspian,73,Feature Film,Action & Adventure,150,2008,PG,Walt Disney Pictures,138918,67,Fresh,no,no,no,no,no,no,Upright,Andrew Adamson,Georgie Henley,Skandar Keynes,William Moseley,Anna Popplewell,Ben Barnes,http://www.imdb.com/title/tt0499448/,http://www.rottentomatoes.com/m/chronicles_of_narnia_prince_caspian/,499448
Plump Fiction,40,Feature Film,Comedy,82,1997,R,Rhino Entertainment,3234,0,Rotten,no,no,no,no,no,no,Spilled,Bob Koherr,Tommy Davidson,Julie Brown,Paul Dinello,Sandra Bernhard,Dan Castellaneta,http://www.imdb.com/title/tt0117350/,http://www.rottentomatoes.com/m/plump-fiction/,117350
The Rainmaker,77,Feature Film,Mystery & Suspense,135,1997,PG-13,Paramount Pictures,43241,82,Certified Fresh,no,no,yes,no,yes,no,Upright,Francis Ford Coppola,Matt Damon,Claire Danes,Danny DeVito,Jon Voight,Mary Kay Place,http://www.imdb.com/title/tt0119978/,http://www.rottentomatoes.com/m/1080867-rainmaker/,119978
The First Grader,76,Feature Film,Art House & International,103,2010,PG-13,National Geographic Entertainment,2817,59,Rotten,no,no,no,no,no,no,Upright,Justin Chadwick,Naomie Harris,Oliver Litondo,Emily Njoki,Hannah Wacera,Tony Kgoroge,http://www.imdb.com/title/tt0790663/,http://www.rottentomatoes.com/m/the_first_grader/,790663
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,68,Feature Film,Action & Adventure,88,1991,PG,WARNER BROTHERS PICTURES,40750,33,Rotten,no,no,no,no,no,no,Upright,Michael Pressman,Paige Turco,David Warner,Michelan Sisti,Leif Tilden,Kenn Troum,http://www.imdb.com/title/tt0103060/,http://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_2_the_secret_of_the_ooze/,103060
Harry and the Hendersons,54,Feature Film,Comedy,110,1987,PG,Universal Pictures,22468,44,Rotten,no,no,no,no,no,no,Spilled,William Dear,John Lithgow,Melinda Dillon,Don Ameche,Margaret Langrick,Joshua Rudoy,http://www.imdb.com/title/tt0093148/,http://www.rottentomatoes.com/m/harry_and_the_hendersons/,93148
Stuck,55,Feature Film,Drama,85,2007,R,ThinkFilm,8034,72,Certified Fresh,no,no,no,no,no,no,Spilled,Stuart Gordon,Stephen Rea,Mena Suvari,Russell Hornsby,Rukiya Bernard,Carolyn Purdy-Gordon,http://www.imdb.com/title/tt0758786/,http://www.rottentomatoes.com/m/stuck/,758786
Copying Beethoven,57,Feature Film,Drama,104,2006,PG-13,MGM,10683,28,Rotten,no,no,no,no,no,no,Spilled,Agnieszka Holland,Ed Harris,Diane Kruger,Matthew Goode,Nicholas Jones,Ralph Riach,http://www.imdb.com/title/tt0424908/,http://www.rottentomatoes.com/m/copying_beethoven/,424908
Malice,45,Feature Film,Mystery & Suspense,107,1993,R,Sony Pictures Home Entertainment,17415,57,Rotten,no,no,no,yes,no,no,Spilled,Harold Becker,Alec Baldwin,Bill Pullman,Nicole Kidman,Peter Gallagher,Bebe Neuwirth,http://www.imdb.com/title/tt0107497/,http://www.rottentomatoes.com/m/malice/,107497
Harry Potter and the Half-Blood Prince,77,Feature Film,Drama,153,2009,PG,Warner Bros. Pictures,292015,84,Certified Fresh,no,no,no,no,no,yes,Upright,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Tom Felton,Helena Bonham Carter,http://www.imdb.com/title/tt0417741/,http://www.rottentomatoes.com/m/harry_potter_and_the_half_blood_prince/,417741
Salem's Lot,65,TV Movie,Drama,184,1979,PG,Warner Home Video,13797,83,Fresh,no,no,no,no,no,no,Upright,Tobe Hooper,David Soul,James Mason,Lance Kerwin,Bonnie Bedelia,Lew Ayres,http://www.imdb.com/title/tt0079844/,http://www.rottentomatoes.com/m/salems_lot_the_movie/,79844
All the Right Moves,39,Feature Film,Drama,91,1983,R,Twentieth Century Fox Home Entertainment,11720,53,Rotten,no,no,no,no,no,no,Spilled,Michael Chapman,Tom Cruise,Craig T. Nelson,Lea Thompson,Charles Cioffi,Paul Carafotes,http://www.imdb.com/title/tt0085154/,http://www.rottentomatoes.com/m/all_the_right_moves/,85154
Horatio Hornblower: The Fire Ship,85,TV Movie,Drama,93,1998,Unrated,A & E,2965,80,Fresh,no,no,no,no,no,no,Upright,Andrew Grieve,Ioan Gruffudd,Robert Lindsay,Dorian Healy,Michael Byrne,Robert Bathurst,http://www.imdb.com/title/tt0194947/,http://www.rottentomatoes.com/m/hornblower-the-examination-for-lieutenant-horatio-hornblower-the-fire-ship/,194947
Doctor Dolittle,34,Feature Film,Comedy,85,1998,PG-13,20th Century Fox,69378,43,Rotten,yes,no,no,no,no,no,Spilled,Betty Thomas,Eddie Murphy,Oliver Platt,Richard Schiff,Ossie Davis,Peter Boyle,http://www.imdb.com/title/tt0118998/,http://www.rottentomatoes.com/m/dr_dolittle/,118998
Seabiscuit,76,Feature Film,Drama,140,2003,PG-13,Universal Pictures,55695,77,Certified Fresh,yes,no,yes,no,no,no,Upright,Gary Ross,Tobey Maguire,Jeff Bridges,Chris Cooper,Elizabeth Banks,William H. Macy,http://www.imdb.com/title/tt0329575/,http://www.rottentomatoes.com/m/seabiscuit/,329575
Garfield: A Tail of Two Kitties,43,Feature Film,Other,78,2006,PG,20th Century Fox,24948,11,Rotten,no,no,no,no,no,no,Spilled,Tim Hill,Bill Murray,Jennifer Love Hewitt,Billy Connolly,Ian Abercrombie,Roger Rees,http://www.imdb.com/title/tt0455499/,http://www.rottentomatoes.com/m/garfield_2/,455499
TRON: Legacy,63,Feature Film,Action & Adventure,125,2010,PG,Walt Disney Pictures,251731,51,Rotten,no,no,yes,no,no,no,Upright,John Lasseter,Jeff Bridges,Garrett Hedlund,Olivia Wilde,Bruce Boxleitner,James Frain,http://www.imdb.com/title/tt1104001/,http://www.rottentomatoes.com/m/10011582-TRON_legacy/,1104001
Class Act,73,Feature Film,Comedy,98,1992,PG-13,Warner Home Video,3801,17,Rotten,no,no,no,no,no,no,Upright,Fred Lerner,"Christopher ""Kid"" Reid",Christopher Martin,Andre Rosey Brown,Meshach Taylor,Alysia M. Rogers,http://www.imdb.com/title/tt0103978/,http://www.rottentomatoes.com/m/1039511-class_act/,103978
Gray Lady Down,38,Feature Film,Drama,111,1978,PG,MCA Universal Home Video,1913,60,Fresh,no,no,yes,no,no,no,Spilled,David Greene,Charlton Heston,David Carradine,Stacy Keach,Ned Beatty,Stephen McHattie,http://www.imdb.com/title/tt0077629/,http://www.rottentomatoes.com/m/gray_lady_down/,77629
Be Cool,42,Feature Film,Drama,118,2005,PG-13,MGM/UA,57821,30,Rotten,no,no,no,no,no,no,Spilled,F. Gary Gray,John Travolta,Uma Thurman,Vince Vaughn,Cedric the Entertainer,Andre Benjamin,http://www.imdb.com/title/tt0377471/,http://www.rottentomatoes.com/m/be_cool/,377471
The Hunter,62,Feature Film,Art House & International,102,2011,R,Magnolia Pictures,28212,69,Fresh,no,no,no,no,no,no,Upright,Daniel Nettheim,Willem Dafoe,Frances O'Connor,Sam Neill,Morgana Davies,Finn Woodlock,http://www.imdb.com/title/tt1703148/,http://www.rottentomatoes.com/m/the_hunter_2012/,1703148
Testament,74,Feature Film,Drama,90,1983,PG,Paramount Pictures,4362,86,Fresh,no,no,no,no,no,no,Upright,Lynne Littman,Jane Alexander,William Devane,Ross Harris,Roxana Zal,Lukas Haas,http://www.imdb.com/title/tt0086429/,http://www.rottentomatoes.com/m/testament/,86429
Talladega Nights: The Ballad of Ricky Bobby,73,Feature Film,Action & Adventure,108,2006,PG-13,Sony Pictures Releasing,121938,72,Certified Fresh,no,no,no,no,no,no,Upright,Adam McKay,Will Ferrell,John C. Reilly,Sacha Baron Cohen,Gary Cole,Michael Clarke Duncan,http://www.imdb.com/title/tt0415306/,http://www.rottentomatoes.com/m/talladega_nights_the_ballad_of_ricky_bobby/,415306
Original Sin,62,Feature Film,Mystery & Suspense,116,2001,R,MGM,42773,12,Rotten,no,no,no,no,no,no,Upright,Michael Cristofer,Antonio Banderas,Angelina Jolie,Thomas Jane,Jack Thompson,Gregory Itzin,http://www.imdb.com/title/tt0218922/,http://www.rottentomatoes.com/m/original_sin/,218922
Puncture,54,Feature Film,Drama,100,2011,R,Millennium Entertainment,17888,51,Rotten,no,no,no,no,no,no,Spilled,Mark Kassen,Chris Evans,Mark Kassen,Marshall Bell,Brett Cullen,Jesse L. Martin,http://www.imdb.com/title/tt1582248/,http://www.rottentomatoes.com/m/puncture/,1582248
No Reservations,62,Feature Film,Drama,104,2007,PG,Warner Bros. Pictures,56391,42,Rotten,no,no,no,no,no,no,Upright,Scott Hicks,Catherine Zeta-Jones,Aaron Eckhart,Patricia Clarkson,Abigail Breslin,Jenny Wade,http://www.imdb.com/title/tt0481141/,http://www.rottentomatoes.com/m/no_reservations/,481141
Trapped,49,Feature Film,Drama,106,2002,R,Columbia Pictures,18879,18,Rotten,no,no,no,yes,no,no,Spilled,Luis Mandoki,Charlize Theron,Courtney Love,Stuart Townsend,Kevin Bacon,Pruitt Taylor Vince,http://www.imdb.com/title/tt0280380/,http://www.rottentomatoes.com/m/1116086-trapped/,280380
Tideland,64,Feature Film,Drama,120,2005,R,ThinkFilm,25825,29,Rotten,no,no,yes,no,no,no,Upright,Terry Gilliam,Jodelle Ferland,Brendan Fletcher,Janet McTeer,Jennifer Tilly,Jeff Bridges,http://www.imdb.com/title/tt0410764/,http://www.rottentomatoes.com/m/tideland/,410764
Little Ashes,48,Feature Film,Drama,112,2008,R,Regent Releasing,7114,24,Rotten,no,no,no,no,no,no,Spilled,Paul Morrison,Ruben Arroyo,Robert Pattinson,Matthew McNulty,Javier Beltran,Arly Jover,http://www.imdb.com/title/tt1104083/,http://www.rottentomatoes.com/m/little_ashes/,1104083
St. Trinian's,55,Feature Film,Comedy,97,2007,PG-13,NeoClassics Films,17357,32,Rotten,no,no,yes,no,no,no,Spilled,Barnaby Thompson,Rupert Everett,Colin Firth,Lena Headey,Jodie Whittaker,Mischa Barton,http://www.imdb.com/title/tt0964587/,http://www.rottentomatoes.com/m/st_trinians/,964587
Wendy and Lucy,67,Feature Film,Drama,80,2008,R,Oscilloscope Pictures,11677,85,Certified Fresh,no,no,no,no,no,no,Upright,Kelly Reichardt,Michelle Williams,Walter Dalton,Will Oldham,John Robinson (IX),Will Patton,http://www.imdb.com/title/tt1152850/,http://www.rottentomatoes.com/m/wendy_and_lucy/,1152850
The Relic,34,Feature Film,Science Fiction & Fantasy,110,1997,R,Paramount,18343,31,Rotten,no,no,no,no,no,no,Spilled,Peter Hyams,Penelope Ann Miller,Tom Sizemore,Linda Hunt,James Whitmore,Clayton Rohner,http://www.imdb.com/title/tt0120004/,http://www.rottentomatoes.com/m/relic/,120004
The Order,29,Feature Film,Drama,89,2001,R,Sony Pictures Home Entertainment,6250,0,Rotten,no,no,yes,no,no,no,Spilled,Sheldon Lettich,Jean-Claude Van Damme,Charlton Heston,Ben Cross,Sofia Milos,Brian Thompson,http://www.imdb.com/title/tt0193364/,http://www.rottentomatoes.com/m/1112237-order/,193364
"Welcome Home, Roxy Carmichael",47,Feature Film,Drama,95,1990,PG-13,Paramount Home Video,3614,44,Rotten,no,no,no,no,no,no,Spilled,Jim Abrahams,Winona Ryder,Jeff Daniels,Laila Robins,Thomas Wilson Brown,Frances Fisher,http://www.imdb.com/title/tt0100911/,http://www.rottentomatoes.com/m/welcome_home_roxy_carmichael/,100911
Crank,71,Feature Film,Action & Adventure,88,2006,R,Lionsgate,185526,61,Fresh,no,no,no,no,no,no,Upright,Mark Neveldine,Jason Statham,Amy Smart,Efren Ramirez,Jose Pablo Cantillo,Dwight Yoakam,http://www.imdb.com/title/tt0479884/,http://www.rottentomatoes.com/m/crank/,479884
Shrek 2,69,Feature Film,Other,93,2004,PG,DreamWorks SKG,289596,88,Certified Fresh,no,no,no,yes,no,yes,Upright,Conrad Vernon,Mike Myers,Eddie Murphy,Cameron Diaz,Julie Andrews,John Cleese,http://www.imdb.com/title/tt0298148/,http://www.rottentomatoes.com/m/shrek_2/,298148
Homegrown,50,Feature Film,Drama,102,1998,R,Sony Pictures Home Entertainment,3985,47,Rotten,no,no,no,no,no,no,Spilled,Stephen Gyllenhaal,Billy Bob Thornton,Hank Azaria,Kelly Lynch,Ryan Phillippe,Judge Reinhold,http://www.imdb.com/title/tt0119305/,http://www.rottentomatoes.com/m/homegrown/,119305
The Haunted Mansion,30,Feature Film,Horror,88,2003,PG,Buena Vista Pictures,30134,13,Rotten,no,no,no,no,no,no,Spilled,Rob Minkoff,Eddie Murphy,Terence Stamp,Nathaniel Parker,Marsha Thomason,Jennifer Tilly,http://www.imdb.com/title/tt0338094/,http://www.rottentomatoes.com/m/haunted_mansion/,338094
Event Horizon,61,Feature Film,Science Fiction & Fantasy,96,1997,R,Paramount Home Video,111751,24,Rotten,no,no,no,no,no,no,Upright,Paul W.S. Anderson,Laurence Fishburne,Sam Neill,Kathleen Quinlan,Joely Richardson,Richard T. Jones,http://www.imdb.com/title/tt0119081/,http://www.rottentomatoes.com/m/event_horizon/,119081
Race the Sun,42,Feature Film,Drama,100,1996,PG,Sony Pictures Home Entertainment,2530,22,Rotten,no,no,no,yes,no,no,Spilled,Charles T. Kanganis,Halle Berry,James Belushi,Casey Affleck,Eliza Dushku,Kevin Tighe,http://www.imdb.com/title/tt0117427/,http://www.rottentomatoes.com/m/race_the_sun/,117427
